text_krio	text_english	original_story	label
Den ?l shat den mot de luk am	"A bird has come to perch on an electric wire.
Another bird has come to perch by him but the first bird is not happy to have him by his side so he is fighting with him.
Then plenty birds came to perch on the wire and they were all fghting.
Then a big bird perching on the electric pole called their attention.
They all shut their mouths looking at him.
Then they started mimicking him and made fun of him.
So they all moved and sat in the middle of the wire
The big bird flew and sat in between them.
The wire started going down because the big bird was heavy.
the birds have been squeezed in the middle so the are shouting at the big bird.
one bird bit the big bird then he turned up-side-down but his feet still held unto the wire and his head pointed to the ground
Then two birds started pecking his feet so he will fall and the other birds were supporting them
One bird realised that the big bird's head has already touched the ground and the wire has being stretched too much.
The big bird's foot came off the wire and the wire shot the birds up and all their feathers were left behind.
Then they started falling one by one to the ground by the big bird.
They all fell without feathers.
They were ashamed and hid behind the big bird who was laughing at them.
Another bird too has come to perch on the wire and the first bird is fighting with this other bird too.
I am watching a short video which is titled 'For the birds'.
The big bird wants to talk to them but they refuse to listen to him.
So they asked the two birds pecking him to stop but it was too late."	F? di b?d d?m	1
D?n bin f? d?n de r?n bifo d?n trowe di ston d?m	"I am going to school.
I am a big girl.
These two pretty girls who are studying French...
He said he wants to go with his sister.
He said that he wants to go with his sister.
She cooked for the children.
He killed the snake with a cutlass.
John beat the dog to death.
The child eats alot.
The child is eating
The child eats.
He is approaching.
He wanted to kill me.
He is cooking as we speak/chat.
He cooks all the time.
He went to do laundry at the riverside.
The child realised that his mother was getting angry so he ran away.
He will do laundry at the riverside.
All newspapers have headlines which attract viewers and make them want to read the news.
The boy caught the girl and beat her up.
He wants water.
I am making cake.
He got married today.
He came.
They should have been running before they threw the stones.
If not for his mother he would not be walking"	A de go na skul	1
"Duya n? kam mi we oo, a beg yu, yu n? de go nosai’"	"I don't know what your mission in this village is but if you listen to me I will be happy.
As he wanted to cut the sister the boy screamed 'wayooo my rash oo, my rash.
But he got rashes all over his body.
Please don't come my way! I beg of you, you are going nowhere.
They went to the devil's house.
He had prepared everything.
He had sharpened the cutlass and placed it under the bed, which he will use to kill the lady.
He said I will not stay behind i want to go with my sister.
If you see the cutlass he pulled out.
In the middle of the night the devil pulled out his cutlass again.
Then Lamina cast a spell and threw something in the water.
The devil quickly put the cutlass back under the bed.
The devil said ""hee"".
Then the mother said 'ee Bindu this is your only brother just try and take him along'.
So what happened was that when Bindu was leaving he begun to cry.
I will not challenge you again.
I will not be stubborn again oo.
I don't want you to come and disturb me in my marriage oo.
as the devil left the boy said 'sister you do not believe me'.
As the reached the waterside and the boat, the devil worked some magic and the boat disappeared.
As he raised it up to cut Bindu the boy screamed 'aahh aahh my rash, my rash, my rash is itchy.
As he left the boy came to his sister and said 'sister sister, this your husband is a devil and he wants to kill you'.
As he got close to the house the mother said to the man 'Sir greetings oo'.
but she was in a poor family so she was fortunate to be sent to school in Freetown.
But the devil had a big fowl cock.
His sister wanted to send him back, but the devil didn't come back early.
But her younger brother in the village was a boy with magic.
But first thing tomorrow morning you are leaving.
But if you get married here your husband will have farms, goats, sheep and other things which we will benefit from.
But you know that me and Lamina will not meet.
The boy sat down, his sister too.
The boy cleaned and washed for a very long time.
The devil was approaching, he posed, walked and showed off.
The devil went about his business.
The devil didn't see them again until they managed to reach the shore.
The reason why I am here is to find a woman that I would like.
All the water turned black.
Please, go and get some water to bathe me.
They started to paddle.
They started running now, they were running, running, running.
He began to sharpen it, ka-ching ka-ching zig zag ka-ching.
He began to sharpen it, ""ka-ching ka-ching zig zag ka-ching"".
He brought money, he brought chain, both very nice things.
He brought one box filled with clothes for the lady, Bindu.
He came closer very fast.
He approached.
He was observing and watching.
He will come and kill you.
It is not right oo.
He said the child is also pretty.
She said 'So please get married so we can also benefit from it'.
She said 'the ones here are whom we know.
She said 'please, my child has seen you from afar and she likes you.
He responded.
She said 'Look at him coming from afar'.
He said 'mother mother I want to go with my sister'.
She said ""Sometimes you have to be patient until you get what is right for you.""
She said, I am tired of you all trying to destroy my marriage.
He wants to kill me.
If he did not follow me to my house you would have heard a different story.
If you want to go back to Freetown to look for a husband we do not know about them.
He was dressed in a coat.
Immediately when the child saw him she said 'ee mother, I think I have found the man I like'.
I want to go, I want to go to my mother, this place does not suit me.
My child, not everything that glitters is gold.
This is what i was telling you, sister, so let's go before this man comes.
then Bindu said, 'mother please, do not disturb me, right now i am not worried about marriage'.
Then Bindu awoke.
She said she would bear her little brother.
Then Lamina who had a little magic himself cast a spell and the sand turned into a boat.
Then the devil left.
Then the devil reached the edge of the riverside.
Then the devil said 'ok leave him, I am going to get the water'.
Then the devil said, 'mother, it is as if you know what is on my heart.
Then the mother said ""what! Thank you god you have saved my child's life.""
Then the child told her that, 'Ee mother, I haven't seen any man in this village oo.'
Then the girl told her that 'mother next time I will listen to your word'
Then they started running.
Then they climbed inside.
He jumped inside.
Then he put his hand under the bed and pulled out the cutlass.
She said, Lamina you are lucky, since my man did not come back early.
He said ""what what""
Then she said ""yes mother.""
Then she said, 'mother, as I have given you my word I am not changing it, I like this man'.
Then her mother asked 'Well what do you want us to do now?'
Then her mother said 'who is he?'
Then his sister was shouting, 'Lamina pull pull, Lamina pull, let us go.
Then his sister said, ah, with that rash on your body who do you want to follow.
His sister said ""Hey hey don't talk about such foolish things.""
Then the man took the cutlass from under the bed and began to sharpen it, ka-ching ka-ching zig zag ka-ching.
So after the ceremony, Bindu decided to go with the man.
So Bindu said she hadn't found any man in the village who suits her.
So Lamina paddled as fast as he could.
As they were leaving the cock crowed 'kokorioko, your wife is leaving'.
The devil came with the water.
So they gave him water and sat down and he told the mother that he likes her child.
So they packed and left.
So as time went by, a devil came to the village..
When he heard about this, he changed himself into a handsome man, a very fine man.
That night when they were sleeping, the boy did not sleep.
The boy said, ok sister anything you say.
So the mother asked Bindu, 'Bindu you chose your man o, are you sure you like him?'
So the mother asked the man to have a seat.
So the man decided to go and come back for the marriage arrangement.
Then the sister said 'well you see now, my husband please go and get the water for this boy so he can go'.
So then she said ""ok"". She said ""Mother, this is for your sake.""
So her mother told her that ''Eee Bindu, we have used all the money we have for your schooling.
Night came again.
End of story.
Tomorrow i will make sure that i pack and send you back.
What are you saying to me, come on, go to bed.
Once upon a time, there lived a girl in a faraway village with her mother, father and little brother.
When the devil realised that they had entered the village he had to turn back.
When the sister it, she said ""what!""
When they got to the riverside they got into a boat and crossed.
When she completed school she returned to the village.
I don't know what would have happened to me if it was not for Lamina whom i wanted to leave behind.
You didn't know that the man I married is a big devil.
So after two weeks, the devil came back.
I do not want all these problems.
""Bindu, go bring water for the stranger.""
Sir, my rash is itchy, please, the water used to bathe me is from the other village, please go and get it for me.
Well now, this I will tell mother so that you will not come with me.
'Are you ready to marry this man?' she said 'yes mother'."	N?to ?ltin we fain na fain	0
So Lamina s?f de padul fas fas fas fas	"I don't know what your mission in this village is but if you listen to me I will be happy.
As he wanted to cut the sister the boy screamed 'wayooo my rash oo, my rash.
But he got rashes all over his body.
Please don't come my way! I beg of you, you are going nowhere.
They went to the devil's house.
He had prepared everything.
He had sharpened the cutlass and placed it under the bed, which he will use to kill the lady.
He said I will not stay behind i want to go with my sister.
If you see the cutlass he pulled out.
In the middle of the night the devil pulled out his cutlass again.
Then Lamina cast a spell and threw something in the water.
The devil quickly put the cutlass back under the bed.
The devil said ""hee"".
Then the mother said 'ee Bindu this is your only brother just try and take him along'.
So what happened was that when Bindu was leaving he begun to cry.
I will not challenge you again.
I will not be stubborn again oo.
I don't want you to come and disturb me in my marriage oo.
as the devil left the boy said 'sister you do not believe me'.
As the reached the waterside and the boat, the devil worked some magic and the boat disappeared.
As he raised it up to cut Bindu the boy screamed 'aahh aahh my rash, my rash, my rash is itchy.
As he left the boy came to his sister and said 'sister sister, this your husband is a devil and he wants to kill you'.
As he got close to the house the mother said to the man 'Sir greetings oo'.
but she was in a poor family so she was fortunate to be sent to school in Freetown.
But the devil had a big fowl cock.
His sister wanted to send him back, but the devil didn't come back early.
But her younger brother in the village was a boy with magic.
But first thing tomorrow morning you are leaving.
But if you get married here your husband will have farms, goats, sheep and other things which we will benefit from.
But you know that me and Lamina will not meet.
The boy sat down, his sister too.
The boy cleaned and washed for a very long time.
The devil was approaching, he posed, walked and showed off.
The devil went about his business.
The devil didn't see them again until they managed to reach the shore.
The reason why I am here is to find a woman that I would like.
All the water turned black.
Please, go and get some water to bathe me.
They started to paddle.
They started running now, they were running, running, running.
He began to sharpen it, ka-ching ka-ching zig zag ka-ching.
He began to sharpen it, ""ka-ching ka-ching zig zag ka-ching"".
He brought money, he brought chain, both very nice things.
He brought one box filled with clothes for the lady, Bindu.
He came closer very fast.
He approached.
He was observing and watching.
He will come and kill you.
It is not right oo.
He said the child is also pretty.
She said 'So please get married so we can also benefit from it'.
She said 'the ones here are whom we know.
She said 'please, my child has seen you from afar and she likes you.
He responded.
She said 'Look at him coming from afar'.
He said 'mother mother I want to go with my sister'.
She said ""Sometimes you have to be patient until you get what is right for you.""
She said, I am tired of you all trying to destroy my marriage.
He wants to kill me.
If he did not follow me to my house you would have heard a different story.
If you want to go back to Freetown to look for a husband we do not know about them.
He was dressed in a coat.
Immediately when the child saw him she said 'ee mother, I think I have found the man I like'.
I want to go, I want to go to my mother, this place does not suit me.
My child, not everything that glitters is gold.
This is what i was telling you, sister, so let's go before this man comes.
then Bindu said, 'mother please, do not disturb me, right now i am not worried about marriage'.
Then Bindu awoke.
She said she would bear her little brother.
Then Lamina who had a little magic himself cast a spell and the sand turned into a boat.
Then the devil left.
Then the devil reached the edge of the riverside.
Then the devil said 'ok leave him, I am going to get the water'.
Then the devil said, 'mother, it is as if you know what is on my heart.
Then the mother said ""what! Thank you god you have saved my child's life.""
Then the child told her that, 'Ee mother, I haven't seen any man in this village oo.'
Then the girl told her that 'mother next time I will listen to your word'
Then they started running.
Then they climbed inside.
He jumped inside.
Then he put his hand under the bed and pulled out the cutlass.
She said, Lamina you are lucky, since my man did not come back early.
He said ""what what""
Then she said ""yes mother.""
Then she said, 'mother, as I have given you my word I am not changing it, I like this man'.
Then her mother asked 'Well what do you want us to do now?'
Then her mother said 'who is he?'
Then his sister was shouting, 'Lamina pull pull, Lamina pull, let us go.
Then his sister said, ah, with that rash on your body who do you want to follow.
His sister said ""Hey hey don't talk about such foolish things.""
Then the man took the cutlass from under the bed and began to sharpen it, ka-ching ka-ching zig zag ka-ching.
So after the ceremony, Bindu decided to go with the man.
So Bindu said she hadn't found any man in the village who suits her.
So Lamina paddled as fast as he could.
As they were leaving the cock crowed 'kokorioko, your wife is leaving'.
The devil came with the water.
So they gave him water and sat down and he told the mother that he likes her child.
So they packed and left.
So as time went by, a devil came to the village..
When he heard about this, he changed himself into a handsome man, a very fine man.
That night when they were sleeping, the boy did not sleep.
The boy said, ok sister anything you say.
So the mother asked Bindu, 'Bindu you chose your man o, are you sure you like him?'
So the mother asked the man to have a seat.
So the man decided to go and come back for the marriage arrangement.
Then the sister said 'well you see now, my husband please go and get the water for this boy so he can go'.
So then she said ""ok"". She said ""Mother, this is for your sake.""
So her mother told her that ''Eee Bindu, we have used all the money we have for your schooling.
Night came again.
End of story.
Tomorrow i will make sure that i pack and send you back.
What are you saying to me, come on, go to bed.
Once upon a time, there lived a girl in a faraway village with her mother, father and little brother.
When the devil realised that they had entered the village he had to turn back.
When the sister it, she said ""what!""
When they got to the riverside they got into a boat and crossed.
When she completed school she returned to the village.
I don't know what would have happened to me if it was not for Lamina whom i wanted to leave behind.
You didn't know that the man I married is a big devil.
So after two weeks, the devil came back.
I do not want all these problems.
""Bindu, go bring water for the stranger.""
Sir, my rash is itchy, please, the water used to bathe me is from the other village, please go and get it for me.
Well now, this I will tell mother so that you will not come with me.
'Are you ready to marry this man?' she said 'yes mother'."	N?to ?ltin we fain na fain	1
Dis stori kin bi wanol buk we de t?k b?t difr?n difr?n tin d?n we de bi to wan pipul d?n	"Story
Stories tell about things that happen, they are usually true but can also not be true.
You have learnt about nansi stories.
This is another kind of stories than those which are usually told.
Of all the stories which are untrue, people usually believe them.
Like the story about egbere.
They say egbere is a devil who looks like a little child.
Egbere can be in the cellar.
They usually only come out at night.
People say egbere runs after a person in the darkness.
This makes people not walk out much at night or go through very dark streets.
They say if a person wants to catch egbere, they should rub garlic where he goes.
This story is about one-legged Jombi.
One-legged Jombi is a devil with only one foot.
They say they are in the uphill parts, like Frob Kolej road, Lesta road, and the other side of the hill.
They say when he moves he can jump from where the street begins to the side where the street ends.
He usually walks hop! hop! And he walks in the middle of the night.
Any person who sees him usually faints, so nobody wants to watch hm when he passes.
Mother water has a story.
They say mother water is half person half fish.
She lives in salt water and has long hair which she usually combs with a golden comb.
If a person gets that comb he will be rich forever.
Tell about these kind of stories which you have heard about or the ones you have thought of for yourself.
True story.
Some stories have truly happened.
Like how people lived.
This story could be one whole book which talks about very different people.
It can be these historical people, about the things which they are able to make, about their work, their law or religion, about which child is born, which person married or which person died, about a secret society and even about how they dress when they go outside the wall.
Talk about the true things which happened in the village or the town when you go out.
Like how the village or the town began, about the work they have been doing, if the work has changed and what led to these changes.
This is a scientific story about fire.
Humankind has known about fire for a very long time, but he did not know how to make it.
When there is lightning, a tree can sometimes catch it.
They can keep this fire going for a long time without going out.
In Alaska, some people rubbed sulfur on two stones, after they rubbed the stones against each other, when the sulfur caught fire, they threw the stones on dry grass or other things which caught fire and began to burn.
It was the Chinese and Indians who were using plates and cups which were broken pieces of plates and rubbed them against bamboo sticks to make fire.
Again the red Indian in America rubs two tree parts against each other to make fire.
The Greeks and Roman had their own method, the put some ind of glasss where the sun was shining bright.
The sun makes the glass so hot, the glass makes the dry wood catch fire.
In Mexico, Greece, Egypt and Italy, the fire burns all the time on the side where people pray.
The first time a human being saw that was when he walked on some gravel, they caught small fires when they were rubbed against another.
But it took time before he himself started rubbing the stones against each other to make fire."	stori	1
"Kam na Yu YON ?l, et o'kl?k, Tyusde ?n W?nsde, afpas s?vin na n?t"	"advertisement is how to touch a person's heart with words and pictures to make him/her buy something.
This is even one which should capture a person's heart to make him listen to what a person is saying about what is going to happen, like theatre or a concert or sports or school entertainment or moonlight picnic and others.
Some advertisement makes people crave to go and see or buy something because it looks important.
Some advertisements usually have music which catches the attention of a person - it is called a jingle.
Soap oh soap made for you!
When you use it to wash (your laundary), it makes your clothes as white as satin and smell sweet always.
Buy it today and see for yourself.
It is available in all the big shops and markets and its price will meet your pocket.
The play which you have been waiting for is here!
'THE BAMBAY' is the play which will touch your heart, change your life and make things better for you.
Come to All Yours, eight o'clock, Tuesday and Wednesday, half past seven at night.
All the important people will be there.
You should be there yourself, don't be left behind!
Come with your friends and families.
The ticket is one thousand leones only for an adult and just five hundred leones for a child.
To give an announcment.
This includes what has already happened like a funeral, future occurrence like a meeting, crusade, or conference and even when an important person arrives at a place where everyone is waiting for him.
Read these examples:
The committee at Malon Village announced that the meeting to select a chairman for this year will be on Friday June 4th at the village market at five o'clock in the evening.
All important people should be there on time.
We are sorry to tell you, that Pa Wekreku French, who lived at number 10 Waterside Road, Benka Village, died on Monday 6th of August.
He was one hundred years old.
He left six children, Tile, Alafia, Tokumbo, Dele, Aina and Soniboy, many grand and great-grandchildren, and family members.
There will be a burial service on Sunday August twelve at Ye Faithful church at the village, four o'clock in the afternoon, then he will be buried at the village cemetary.
My family, the big personality we have been waiting for, Pa Chuku Tona, is here now!
Let us all stand and welcome him!
Radio, television and posters are used for advertisement and announcements.
Read these ones:"	Advatism?nt	1
I d?n go put am pan Simon leh i si wetin i d?n do boht Simon sti de slip	"I am watching a short video which is titled Simon's Cat.
Simon is asleep in a chair and his cat is on his lap.
A fly has entered the room.
The cat wants to catch the fly.
The fly stood on a cup which the cat has hit and the cup has fallen down.
It goes to stand on a lamp.
The cat has knocked down the lamp because he is still chasing the fly.
The fly has gone to hang on the window curtain in the room.
The cat is still looking for it.
He has seen that the fly is on the window curtain.
He has gone to hang on the window curtain to catch the fly.
He is not able to catch it but he has tore the window curtain.
The fly has come to sit on the chair in which Simon is asleep.
The cat has seen it and he wants to catch it.
The fly is still running and the cat is still chasing it.
He chased him till he tore the chair in which Simon is sleeping.
The cat has caught the fly on the ground.
He has crushed it.
The fly is dying.
The cat is playing with it to make sure that it is dead.
He is hitting the fly to see that it is dead.
Simon is still sleeping and he does not hear what is happening.
The cat is running around in the room.
He has gone to hide under a newspaper.
He is still jumping and hitting the fly to make sure that it is dead.
He is calling Simon to make him see that he has killed the fly but still Simon does not respond.
The cat has taken the fly in his mouth.
He has placed it on Simon so he will see what he has done but Simon is still sleeping.
The cat is hitting Simon to wake him up but Simon is not responding.
He has slept with his mouth open so the cat put the fly into Simon's mouth.
Simon felt something in his mouth so he woke up.
He began to shout and tried to remove what was in his mouth then he swallowed it.
The cat is laughing at him.
Then Simon heard something making noise in his stomach."	Simon in Pus	1
"B?t if di ples wam pasmak ?n di san n? de shayn, na grin k?la i kin g?t"	"How the chameleon changes its colour.
Chameleon does not change its colour just to look like its environment, because it does not care about that.
The true thing is when the chameleon's skin is as clear as glass.
Under the skin, it has some gel which is grey and red in colour.
When these gels shrink or straighten out, the chameleon's colour usually changes.
This usually happens when it is angry or afraid.
When it is angry the colour is dark and when it is afraid the colour is usually lighter.
Even the sun can make the chameleon's colour change.
When the sun is bright the colour is usually dark, it can look like black.
But if it is very warm and the sun is not shining it has a green colour.
Similarly, if the place is cold it can get the green colour.
It usually has a light colour with bright marks at night or when the sun does not shine.
This shows that it is how the chameleon feels when the place is warm, cold or sunny that makes him change colour, not the place where it is.
It happens that when the chameleon changes colour, its enemies like snakes or birds are unable to see it.
As it walks majestically, it needs this means of hiding so its enemies cannot find it."	Aw k?mi?l de chenj in k?la	1
I d?n si se di flai de pan di windoh kohtin	"I am watching a short video which is titled Simon's Cat.
Simon is asleep in a chair and his cat is on his lap.
A fly has entered the room.
The cat wants to catch the fly.
The fly stood on a cup which the cat has hit and the cup has fallen down.
It goes to stand on a lamp.
The cat has knocked down the lamp because he is still chasing the fly.
The fly has gone to hang on the window curtain in the room.
The cat is still looking for it.
He has seen that the fly is on the window curtain.
He has gone to hang on the window curtain to catch the fly.
He is not able to catch it but he has tore the window curtain.
The fly has come to sit on the chair in which Simon is asleep.
The cat has seen it and he wants to catch it.
The fly is still running and the cat is still chasing it.
He chased him till he tore the chair in which Simon is sleeping.
The cat has caught the fly on the ground.
He has crushed it.
The fly is dying.
The cat is playing with it to make sure that it is dead.
He is hitting the fly to see that it is dead.
Simon is still sleeping and he does not hear what is happening.
The cat is running around in the room.
He has gone to hide under a newspaper.
He is still jumping and hitting the fly to make sure that it is dead.
He is calling Simon to make him see that he has killed the fly but still Simon does not respond.
The cat has taken the fly in his mouth.
He has placed it on Simon so he will see what he has done but Simon is still sleeping.
The cat is hitting Simon to wake him up but Simon is not responding.
He has slept with his mouth open so the cat put the fly into Simon's mouth.
Simon felt something in his mouth so he woke up.
He began to shout and tried to remove what was in his mouth then he swallowed it.
The cat is laughing at him.
Then Simon heard something making noise in his stomach."	Simon in Pus	1
I bin ol wan ?ndr?d ia	"advertisement is how to touch a person's heart with words and pictures to make him/her buy something.
This is even one which should capture a person's heart to make him listen to what a person is saying about what is going to happen, like theatre or a concert or sports or school entertainment or moonlight picnic and others.
Some advertisement makes people crave to go and see or buy something because it looks important.
Some advertisements usually have music which catches the attention of a person - it is called a jingle.
Soap oh soap made for you!
When you use it to wash (your laundary), it makes your clothes as white as satin and smell sweet always.
Buy it today and see for yourself.
It is available in all the big shops and markets and its price will meet your pocket.
The play which you have been waiting for is here!
'THE BAMBAY' is the play which will touch your heart, change your life and make things better for you.
Come to All Yours, eight o'clock, Tuesday and Wednesday, half past seven at night.
All the important people will be there.
You should be there yourself, don't be left behind!
Come with your friends and families.
The ticket is one thousand leones only for an adult and just five hundred leones for a child.
To give an announcment.
This includes what has already happened like a funeral, future occurrence like a meeting, crusade, or conference and even when an important person arrives at a place where everyone is waiting for him.
Read these examples:
The committee at Malon Village announced that the meeting to select a chairman for this year will be on Friday June 4th at the village market at five o'clock in the evening.
All important people should be there on time.
We are sorry to tell you, that Pa Wekreku French, who lived at number 10 Waterside Road, Benka Village, died on Monday 6th of August.
He was one hundred years old.
He left six children, Tile, Alafia, Tokumbo, Dele, Aina and Soniboy, many grand and great-grandchildren, and family members.
There will be a burial service on Sunday August twelve at Ye Faithful church at the village, four o'clock in the afternoon, then he will be buried at the village cemetary.
My family, the big personality we have been waiting for, Pa Chuku Tona, is here now!
Let us all stand and welcome him!
Radio, television and posters are used for advertisement and announcements.
Read these ones:"	Advatism?nt	1
